meet,event,bracket,gender,dref,diver,club,round,dive_code,position,M,DD,j1,j2,j3,total
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,1,100,A,1,1.0,7.0,7.0,7.5,21.5
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,2,200,A,1,1.0,7.0,8.0,8.0,23.0
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,3,401,C,1,1.4,6.5,6.0,6.5,19.0
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,4,20,A,1,1.0,5.5,5.5,5.0,16.0
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,5,10,A,3,1.2,7.0,6.0,6.0,19.0
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,6,11,C,3,1.2,7.5,7.0,7.5,22.0
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,7,20,A,3,1.4,6.5,6.5,6.5,19.5
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,8,21,C,3,1.3,6.5,6.0,6.0,18.5
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,9,101,A,0,1.0,6.5,5.5,6.0,18.0
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,10,200,C,0,1.0,7.5,7.0,7.0,21.5
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,11,101,C,0,1.0,5.5,6.0,6.0,17.5
meet6,19,E1,F,960,Reeva Brown,Dive London Aquatics Club,12,100,B,0,1.0,7.5,6.5,6.5,20.5
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,1,10,A,3,1.2,6.5,6.0,6.0,18.5
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,2,11,C,3,1.2,8.0,7.0,7.0,22.0
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,3,20,A,3,1.4,7.0,6.5,7.0,20.5
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,4,21,C,3,1.3,7.0,7.0,6.0,20.0
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,5,101,A,0,1.0,7.5,6.0,7.0,20.5
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,6,200,C,0,1.0,8.0,7.0,7.0,22.0
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,7,101,C,0,1.0,7.0,6.5,7.5,21.0
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,8,100,B,0,1.0,7.5,7.0,6.5,21.0
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,9,100,A,1,1.0,7.5,6.5,6.5,20.5
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,10,200,A,1,1.0,8.0,7.5,7.0,22.5
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,11,401,B,1,1.5,0.5,0.5,0.5,1.5
meet6,19,E1,F,1070,Clara Syazeddy,Sandwell Diving Club,12,301,C,1,1.6,6.0,6.5,6.5,19.0
meet6,19,E1,F,1069,Grace Rothwell,Burscough Diving Club,1,100,A,1,1.0,6.5,5.5,5.0,17.0
meet6,19,E1,F,1069,Grace Rothwell,Burscough Diving Club,2,200,A,1,1.0,6.5,8.0,7.5,22.0
meet6,19,E1,F,1069,Grace Rothwell,Burscough Diving Club,3,103,C,1,1.6,4.0,5.0,4.5,13.5
meet6,19,E1,F,1069,Grace Rothwell,Burscough Diving Club,4,301,C,1,1.6,5.0,5.5,5.5,16.0
meet6,19,E1,F,1069,Grace Rothwell,Burscough Diving Club,5,10,A,3,1.2,8.5,6.5,7.5,22.5
meet6,19,E1,F,1069,Grace Rothwell,Burscough Diving Club,6,11,C,3,1.2,9.0,7.5,8.5,25.0
meet6,19,E1,F,1069,Grace Rothwell,Burscough Diving Club,7,20,A,3,1.4,3.5,3.5,5.0,12.0
