meet,event,bracket,gender,dref,diver,club,round,dive_code,position,M,DD,j1,j2,j3,total
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",1,100,A,1,1.0,6.0,6.5,6.0,18.5
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",2,200,A,1,1.0,8.0,7.5,8.0,23.5
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",3,103,C,1,1.6,6.5,6.5,6.0,19.0
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",4,201,C,1,1.5,5.5,6.5,6.0,18.0
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",5,10,A,3,1.2,7.5,8.0,8.0,23.5
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",6,11,C,3,1.2,8.0,8.5,9.0,25.5
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",7,20,A,3,1.4,6.5,6.5,7.0,20.0
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",8,21,C,3,1.3,7.0,8.0,7.5,22.5
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",9,101,A,0,1.0,6.5,5.5,6.5,18.5
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",10,200,C,0,1.0,6.0,6.5,6.0,18.5
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",11,101,C,0,1.0,6.5,7.0,7.0,20.5
meet6,1,E,F,15414,Aria Cole,"Plymouth Diving, 2016",12,100,B,0,1.0,6.5,6.0,7.0,19.5
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",1,100,A,1,1.0,6.5,6.5,6.0,19.0
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",2,200,A,1,1.0,6.5,7.0,6.0,19.5
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",3,401,C,1,1.4,6.0,6.0,5.5,17.5
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",4,201,C,1,1.5,6.0,7.0,6.5,19.5
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",5,10,A,3,1.2,7.0,8.5,7.5,23.0
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",6,11,C,3,1.2,8.0,8.0,8.0,24.0
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",7,20,A,3,1.4,5.5,6.5,6.0,18.0
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",8,21,C,3,1.3,7.0,7.0,7.0,21.0
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",9,101,A,0,1.0,6.0,7.0,7.5,20.5
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",10,200,C,0,1.0,6.5,7.0,7.0,20.5
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",11,101,C,0,1.0,7.0,8.5,8.5,24.0
meet6,1,E,F,15200,Annabel Hopwood,"City of Sheffield Diving Club, 2017",12,100,B,0,1.0,5.0,5.5,5.5,16.0
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",1,10,A,3,1.2,6.5,6.0,7.5,20.0
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",2,11,C,3,1.2,6.0,7.0,7.0,20.0
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",3,20,A,3,1.4,6.5,6.5,7.5,20.5
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",4,21,C,3,1.3,7.0,7.0,7.0,21.0
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",5,101,A,0,1.0,6.5,6.5,7.5,20.5
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",6,200,C,0,1.0,6.5,7.0,7.0,20.5
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",7,101,C,0,1.0,7.0,8.0,7.5,22.5
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",8,100,B,0,1.0,6.5,6.5,7.0,20.0
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",9,100,A,1,1.0,6.5,6.5,6.5,19.5
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",10,200,A,1,1.0,6.5,7.0,6.5,20.0
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",11,103,C,1,1.6,6.0,5.5,6.0,17.5
meet6,1,E,F,15295,Ella Suckling,"Southend Diving, 2016",12,201,C,1,1.5,4.5,4.5,4.5,13.5
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",1,10,A,3,1.2,6.0,6.5,8.0,20.5
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",2,11,C,3,1.2,7.0,8.0,7.5,22.5
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",3,20,A,3,1.4,5.0,5.0,4.5,14.5
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",4,21,C,3,1.3,5.0,5.5,5.0,15.5
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",5,101,A,0,1.0,6.0,6.0,6.0,18.0
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",6,200,C,0,1.0,6.5,6.5,8.0,21.0
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",7,101,C,0,1.0,7.5,7.0,7.5,22.0
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",8,100,B,0,1.0,7.5,6.5,8.0,22.0
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",9,100,A,1,1.0,6.5,6.0,6.5,19.0
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",10,200,A,1,1.0,7.0,7.5,7.5,22.0
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",11,401,C,1,1.4,6.5,7.0,7.0,20.5
meet6,1,E,F,15997,Scarlett Han,"City of Leeds Diving Club, 2017",12,301,C,1,1.6,4.5,5.0,5.0,14.5
meet6,1,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",1,100,A,1,1.0,5.5,6.0,5.5,17.0
meet6,1,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",2,200,A,1,1.0,5.5,5.5,5.5,16.5
meet6,1,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",3,401,C,1,1.4,6.0,6.0,5.5,17.5
meet6,1,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",4,201,C,1,1.5,5.5,5.5,5.5,16.5
meet6,1,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",5,10,A,3,1.2,6.0,7.0,6.0,19.0
meet6,1,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",6,11,C,3,1.2,6.5,6.5,7.0,20.0
meet6,1,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",7,20,A,3,1.4,6.0,6.0,7.0,19.0
