meet,event,bracket,gender,dref,diver,club,round,dive_code,position,M,DD,j1,j2,j3,total
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",1,100,A,1,1.0,6.5,6.0,6.0,18.5
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",2,200,A,1,1.0,8.0,8.0,9.0,25.0
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",3,103,C,1,1.6,6.0,6.0,7.5,19.5
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",4,201,C,1,1.5,9.0,7.5,9.0,25.5
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",5,10,A,3,1.2,7.5,7.5,8.0,23.0
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",6,11,C,3,1.2,9.0,8.5,7.5,25.0
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",7,20,A,3,1.4,7.5,8.0,8.5,24.0
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",8,21,C,3,1.2,6.0,6.5,6.0,18.5
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",9,101,A,0,1.0,8.0,8.5,8.0,24.5
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",10,200,C,0,1.0,9.0,9.0,9.5,27.5
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",11,101,C,0,1.0,10.0,10.0,10.0,30.0
meet6,19,E,F,15414,Aria Cole,"Plymouth Diving, 2016",12,100,B,0,1.0,8.0,8.0,8.0,24.0
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",1,101,A,0,1.0,8.0,8.0,8.0,24.0
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",2,200,C,0,1.0,8.0,9.0,7.5,24.5
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",3,101,C,0,1.0,9.5,9.0,9.0,27.5
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",4,100,B,0,1.0,9.0,8.5,10.0,27.5
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",5,100,A,1,1.0,7.5,8.0,8.0,23.5
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",6,200,A,1,1.0,9.0,8.0,8.5,25.5
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",7,401,B,1,1.5,8.5,7.0,8.5,24.0
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",8,201,C,1,1.5,6.5,6.0,5.5,18.0
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",9,10,A,3,1.2,9.0,9.0,9.5,27.5
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",10,11,C,3,1.2,8.5,8.5,8.5,25.5
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",11,20,A,3,1.4,6.5,6.0,6.0,18.5
meet6,19,E,F,15748,Lois Wilkinson,"Sandwell Diving Club, 2016",12,21,C,3,1.2,7.0,7.5,7.0,21.5
meet6,19,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",1,101,A,0,1.0,7.5,7.0,7.0,21.5
meet6,19,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",2,200,C,0,1.0,7.5,8.5,9.0,25.0
meet6,19,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",3,101,C,0,1.0,8.5,7.5,8.5,24.5
meet6,19,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",4,100,B,0,1.0,8.0,8.5,7.5,24.0
meet6,19,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",5,100,A,1,1.0,8.0,7.0,7.0,22.0
meet6,19,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",6,200,A,1,1.0,7.5,6.5,8.0,22.0
meet6,19,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",7,401,C,1,1.4,7.0,7.0,6.0,20.0
meet6,19,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",8,201,C,1,1.5,5.0,5.5,5.0,15.5
meet6,19,E,F,15749,Sasha Wrigley,"City of Sheffield Diving Club, 2016",9,10,A,3,1.2,8.5,8.5,8.5,25.5
