meet,event,bracket,gender,dref,diver,club,round,dive_code,position,M,DD,j1,j2,j3,total
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",1,101,A,0,1.0,7.0,7.0,7.0,21.0
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",2,200,C,0,1.0,7.0,6.5,7.0,20.5
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",3,101,C,0,1.0,6.5,7.0,6.5,20.0
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",4,100,B,0,1.0,7.0,7.5,7.0,21.5
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",5,100,A,1,1.0,6.5,7.0,6.5,20.0
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",6,200,A,1,1.0,7.0,6.5,6.0,19.5
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",7,401,C,1,1.4,5.0,4.5,5.0,14.5
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",8,20,A,1,1.0,6.0,6.5,5.5,18.0
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",9,10,A,3,1.2,6.5,6.0,6.0,18.5
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",10,11,C,3,1.2,6.5,6.0,6.5,19.0
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",11,20,A,3,1.4,6.0,5.0,6.0,17.0
meet6,19,E1,F,16955,Reeva Brown,"Dive London Aquatics Club, 2018",12,21,C,3,1.3,6.0,6.0,6.5,18.5
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",1,100,A,1,1.0,6.5,7.0,7.0,20.5
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",2,200,A,1,1.0,5.5,6.5,6.5,18.5
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",3,401,C,1,1.4,4.5,5.5,6.0,16.0
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",4,201,C,1,1.5,3.5,4.0,4.0,11.5
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",5,10,A,3,1.2,6.0,5.5,6.0,17.5
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",6,11,C,3,1.2,6.5,5.5,6.0,18.0
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",7,20,A,3,1.4,7.0,6.0,6.5,19.5
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",8,21,C,3,1.3,5.5,5.0,5.5,16.0
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",9,101,A,0,1.0,6.0,5.0,5.5,16.5
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",10,200,C,0,1.0,7.0,6.5,6.0,19.5
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",11,101,C,0,1.0,5.5,5.5,5.5,16.5
meet6,19,E1,F,16962,Octavia Steer,"Cambridge Dive Team, 2018",12,100,B,0,1.0,6.5,7.0,7.0,20.5
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",1,10,A,3,1.2,6.5,6.5,6.0,19.0
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",2,11,C,3,1.2,6.0,5.0,6.0,17.0
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",3,20,A,3,1.4,5.5,5.5,5.5,16.5
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",4,21,C,3,1.3,5.5,5.5,6.5,17.5
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",5,101,A,0,1.0,5.0,6.0,6.0,17.0
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",6,200,C,0,1.0,6.0,6.0,5.5,17.5
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",7,101,C,0,1.0,4.5,5.5,5.0,15.0
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",8,100,B,0,1.0,6.0,6.0,6.0,18.0
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",9,100,A,1,1.0,5.0,5.5,5.0,15.5
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",10,200,A,1,1.0,6.0,6.0,6.0,18.0
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",11,401,C,1,1.4,5.5,5.0,6.0,16.5
meet6,19,E1,F,17293,Clara Mattioli,"Dive London Aquatics Club, 2018",12,20,A,1,1.0,4.0,3.0,4.0,11.0
meet6,20,E2,F,16430,Misha Colton,"Albatross Diving Club Reading, 2017",1,10,A,3,1.2,8.0,7.0,6.5,21.5
meet6,20,E2,F,16430,Misha Colton,"Albatross Diving Club Reading, 2017",2,11,C,3,1.2,7.5,7.0,7.0,21.5
