meet,event,bracket,gender,dref,diver,club,round,dive_code,position,M,DD,j1,j2,j3,total
meet6,3,E,F,16003,Bella-Grace Oakes,"Sandwell Diving Club, 2017",1,100,A,1,1.0,7.0,7.0,6.5,20.5
meet6,3,E,F,16003,Bella-Grace Oakes,"Sandwell Diving Club, 2017",2,401,C,1,1.4,8.0,7.5,8.0,23.5
meet6,3,E,F,16003,Bella-Grace Oakes,"Sandwell Diving Club, 2017",3,201,C,1,1.5,9.0,9.0,9.0,27.0
meet6,3,E,F,16003,Bella-Grace Oakes,"Sandwell Diving Club, 2017",4,10,A,3,1.3,9.0,8.0,8.5,25.5
meet6,3,E,F,16003,Bella-Grace Oakes,"Sandwell Diving Club, 2017",5,11,C,3,1.2,8.5,8.5,9.0,26.0
meet6,3,E,F,16003,Bella-Grace Oakes,"Sandwell Diving Club, 2017",6,21,C,3,1.3,8.0,8.5,8.0,24.5
meet6,3,E,F,16003,Bella-Grace Oakes,"Sandwell Diving Club, 2017",7,100,B,0,1.0,7.0,6.0,6.0,19.0
meet6,3,E,F,16003,Bella-Grace Oakes,"Sandwell Diving Club, 2017",8,200,C,0,1.0,8.0,7.0,7.0,22.0
meet6,3,E,F,16003,Bella-Grace Oakes,"Sandwell Diving Club, 2017",9,101,C,0,1.0,7.5,6.5,6.5,20.5
meet6,3,E,F,15989,Amelia Crossley,"City of Leeds Diving Club, 2017",1,100,B,0,1.0,6.5,6.0,6.0,18.5
meet6,3,E,F,15989,Amelia Crossley,"City of Leeds Diving Club, 2017",2,200,C,0,1.0,8.0,7.5,7.5,23.0
meet6,3,E,F,15989,Amelia Crossley,"City of Leeds Diving Club, 2017",3,101,C,0,1.0,7.5,8.0,7.0,22.5
meet6,3,E,F,15989,Amelia Crossley,"City of Leeds Diving Club, 2017",4,100,A,1,1.0,8.0,7.5,7.5,23.0
meet6,3,E,F,15989,Amelia Crossley,"City of Leeds Diving Club, 2017",5,103,C,1,1.6,6.5,6.5,6.0,19.0
meet6,3,E,F,15989,Amelia Crossley,"City of Leeds Diving Club, 2017",6,201,B,1,1.6,5.5,6.0,6.0,17.5
meet6,3,E,F,15989,Amelia Crossley,"City of Leeds Diving Club, 2017",7,10,A,3,1.3,6.0,5.5,6.5,18.0
meet6,3,E,F,15989,Amelia Crossley,"City of Leeds Diving Club, 2017",8,20,A,3,1.4,7.5,7.5,6.5,21.5
meet6,3,E,F,15989,Amelia Crossley,"City of Leeds Diving Club, 2017",9,11,B,3,1.3,7.0,7.0,7.5,21.5
meet6,3,E,F,15196,Zaira De-Vries,"City of Sheffield Diving Club, 2017",1,11,C,3,1.2,7.0,7.0,8.0,22.0
meet6,3,E,F,15196,Zaira De-Vries,"City of Sheffield Diving Club, 2017",2,20,A,3,1.4,4.0,5.0,5.0,14.0
meet6,3,E,F,15196,Zaira De-Vries,"City of Sheffield Diving Club, 2017",3,21,C,3,1.3,7.0,7.0,7.5,21.5
meet6,3,E,F,15196,Zaira De-Vries,"City of Sheffield Diving Club, 2017",4,100,B,0,1.0,7.5,8.0,7.0,22.5
meet6,3,E,F,15196,Zaira De-Vries,"City of Sheffield Diving Club, 2017",5,200,C,0,1.0,8.0,8.0,7.5,23.5
meet6,3,E,F,15196,Zaira De-Vries,"City of Sheffield Diving Club, 2017",6,101,C,0,1.0,6.0,6.0,7.0,19.0
meet6,3,E,F,15196,Zaira De-Vries,"City of Sheffield Diving Club, 2017",7,100,A,1,1.0,7.0,7.0,7.0,21.0
meet6,3,E,F,15196,Zaira De-Vries,"City of Sheffield Diving Club, 2017",8,401,B,1,1.5,4.5,5.5,5.5,15.5
meet6,3,E,F,15196,Zaira De-Vries,"City of Sheffield Diving Club, 2017",9,301,C,1,1.6,6.5,7.5,6.5,20.5
meet6,3,E,F,15702,Evelyn Groves,"City of Bradford Esprit Diving, 2017",1,10,A,3,1.3,6.0,6.0,6.0,18.0
meet6,3,E,F,15702,Evelyn Groves,"City of Bradford Esprit Diving, 2017",2,20,A,3,1.4,8.0,7.0,6.5,21.5
meet6,3,E,F,15702,Evelyn Groves,"City of Bradford Esprit Diving, 2017",3,21,C,3,1.3,6.0,6.5,6.0,18.5
meet6,3,E,F,15702,Evelyn Groves,"City of Bradford Esprit Diving, 2017",4,100,B,0,1.0,5.5,6.0,6.5,18.0
meet6,3,E,F,15702,Evelyn Groves,"City of Bradford Esprit Diving, 2017",5,200,C,0,1.0,7.0,7.0,6.5,20.5
meet6,3,E,F,15702,Evelyn Groves,"City of Bradford Esprit Diving, 2017",6,101,C,0,1.0,8.0,5.5,7.5,21.0
meet6,3,E,F,15702,Evelyn Groves,"City of Bradford Esprit Diving, 2017",7,100,A,1,1.0,7.5,7.5,8.0,23.0
meet6,3,E,F,15702,Evelyn Groves,"City of Bradford Esprit Diving, 2017",8,101,C,1,1.2,7.5,6.0,6.5,20.0
meet6,3,E,F,15702,Evelyn Groves,"City of Bradford Esprit Diving, 2017",9,201,C,1,1.5,6.5,7.0,7.5,21.0
meet6,3,E,F,16681,Imogen Rodenhurst,"City of Sheffield Diving Club, 2017",1,100,A,1,1.0,7.0,7.0,6.5,20.5
