meet,event,bracket,gender,dref,diver,club,round,dive_code,position,M,DD,j1,j2,j3,total
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",1,100,A,1,1.0,6.5,6.0,6.0,18.5
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",2,200,A,1,1.0,7.5,7.5,7.0,22.0
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",3,103,C,1,1.6,4.5,5.5,5.5,15.5
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",4,301,C,1,1.6,6.5,7.5,7.0,21.0
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",5,10,A,3,1.2,6.5,6.0,6.0,18.5
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",6,10,C,3,1.2,8.0,7.0,8.0,23.0
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",7,20,A,3,1.4,7.0,6.0,6.5,19.5
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",8,20,C,3,1.3,8.0,6.5,6.5,21.0
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",9,101,A,0,1.0,6.5,6.0,6.0,18.5
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",10,200,C,0,1.0,7.0,7.0,7.0,21.0
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",11,101,C,0,1.0,6.5,6.5,6.5,19.5
meet6,1,E,F,15930,Nancy Moore,"Plymouth Diving, 2017",12,100,B,0,1.0,6.0,6.5,6.0,18.5
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",1,101,A,0,1.0,8.0,6.5,6.5,21.0
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",2,200,C,0,1.0,7.5,7.0,7.5,22.0
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",3,101,C,0,1.0,6.0,6.0,7.0,19.0
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",4,100,B,0,1.0,7.0,7.0,8.0,22.0
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",5,100,A,1,1.0,6.0,6.5,6.5,19.5
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",6,200,A,1,1.0,8.0,8.0,7.5,24.0
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",7,301,C,1,1.6,6.5,6.0,6.5,19.5
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",8,401,C,1,1.4,5.5,6.0,6.5,18.0
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",9,10,A,3,1.2,6.5,6.5,7.0,20.0
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",10,10,C,3,1.2,6.0,6.5,6.5,19.0
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",11,20,A,3,1.4,6.5,6.0,6.0,18.5
meet6,1,E,F,16792,Ella Casey,"Plymouth Diving, 2017",12,20,C,3,1.3,6.5,6.0,6.0,18.5
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",1,10,A,3,1.2,6.0,6.5,7.5,20.0
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",2,10,C,3,1.2,8.0,8.0,7.5,23.5
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",3,20,A,3,1.4,6.5,6.0,6.5,19.0
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",4,20,C,3,1.3,6.0,6.5,7.0,19.5
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",5,101,A,0,1.0,7.0,7.0,7.5,21.5
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",6,200,C,0,1.0,8.0,8.0,7.0,23.0
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",7,101,C,0,1.0,6.5,6.5,6.5,19.5
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",8,100,B,0,1.0,7.5,7.0,7.0,21.5
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",9,100,A,1,1.0,8.5,8.0,8.0,24.5
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",10,200,A,1,1.0,6.0,5.5,6.5,18.0
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",11,103,C,1,1.6,6.5,6.0,7.0,19.5
meet6,2,E,M,17037,Austin Bolitho,"Plymouth Diving, 2018",12,301,C,1,1.6,7.0,7.5,7.5,22.0
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",1,100,A,1,1.0,4.5,4.5,4.5,13.5
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",2,200,A,1,1.0,5.5,6.0,5.0,16.5
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",3,101,C,1,1.2,5.0,6.0,6.5,17.5
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",4,20,A,1,1.0,5.0,5.0,5.5,15.5
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",5,10,A,3,1.2,6.0,6.0,6.0,18.0
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",6,10,C,3,1.2,5.5,6.0,5.5,17.0
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",7,20,A,3,1.4,6.0,5.5,6.5,18.0
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",8,20,C,3,1.3,6.0,6.0,6.0,18.0
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",9,101,A,0,1.0,7.5,7.0,7.5,22.0
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",10,200,C,0,1.0,7.0,6.0,5.5,18.5
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",11,101,C,0,1.0,7.0,6.5,6.0,19.5
meet6,2,E,M,17039,George Stevens,"Plymouth Diving, 2018",12,100,B,0,1.0,6.0,6.0,5.5,17.5
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",1,101,A,0,1.0,5.0,5.0,5.5,15.5
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",2,200,C,0,1.0,6.0,5.5,5.5,17.0
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",3,101,C,0,1.0,5.0,4.5,5.0,14.5
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",4,100,B,0,1.0,6.0,5.5,5.5,17.0
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",5,100,A,1,1.0,6.5,6.0,6.0,18.0
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",6,200,A,1,1.0,6.0,6.5,6.0,18.0
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",7,101,C,1,1.2,5.0,4.5,5.0,15.0
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",8,20,A,1,1.0,5.5,5.0,4.5,15.0
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",9,10,A,3,1.2,5.0,6.0,5.5,16.5
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",10,10,C,3,1.2,5.5,5.5,5.5,16.5
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",11,20,A,3,1.4,5.5,5.0,5.0,15.5
meet6,2,E,M,17038,Henry Stevens,"Plymouth Diving, 2018",12,20,C,3,1.3,5.0,5.5,5.0,15.5
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",1,101,A,0,1.0,5.0,5.5,8.0,18.5
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",2,200,C,0,1.0,7.0,6.5,7.5,21.0
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",3,101,C,0,1.0,8.5,8.5,9.0,26.0
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",4,100,B,0,1.0,7.0,6.5,7.5,21.0
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",5,100,A,1,1.0,8.0,7.0,7.5,22.5
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",6,200,A,1,1.0,8.0,8.0,8.0,24.0
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",7,103,C,1,1.6,7.5,7.5,7.0,22.5
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",8,201,C,1,1.5,7.0,6.5,7.0,21.0
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",9,10,A,3,1.2,6.5,6.5,7.0,20.0
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",10,10,C,3,1.2,7.5,8.0,8.0,23.5
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",11,20,A,3,1.4,8.0,8.5,8.0,24.5
meet6,3,D,F,15416,Eva Colman,"Plymouth Diving, 2016",12,20,C,3,1.3,9.0,9.0,8.5,26.5
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",1,100,A,1,1.0,7.0,7.5,6.5,21.0
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",2,200,A,1,1.0,6.0,7.5,7.5,21.0
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",3,103,C,1,1.6,5.0,5.0,4.5,14.5
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",4,201,C,1,1.5,6.5,7.0,6.5,20.0
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",5,10,A,3,1.2,7.5,7.0,7.0,21.5
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",6,10,C,3,1.2,6.5,7.0,7.5,21.0
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",7,20,A,3,1.4,7.5,8.0,7.0,22.5
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",8,20,C,3,1.3,7.5,7.5,8.0,23.0
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",9,101,A,0,1.0,7.0,6.5,6.5,20.0
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",10,200,C,0,1.0,7.5,7.0,7.5,22.0
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",11,101,C,0,1.0,8.0,7.0,7.5,22.5
meet6,3,D,F,14467,Bethany Hockaday,"Plymouth Diving, 2015",12,100,B,0,1.0,7.0,7.5,7.0,21.5
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",1,10,A,3,1.2,6.5,6.5,7.0,20.0
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",2,10,C,3,1.2,7.5,7.0,6.5,21.0
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",3,20,A,3,1.4,7.5,7.5,7.5,22.5
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",4,20,C,3,1.3,6.5,6.5,6.0,19.0
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",5,101,A,0,1.0,6.5,6.0,7.0,19.5
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",6,200,C,0,1.0,7.5,7.0,6.5,21.0
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",7,101,C,0,1.0,9.0,8.5,9.0,26.5
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",8,100,B,0,1.0,7.5,7.0,7.0,21.5
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",9,100,A,1,1.0,6.5,6.0,6.5,19.0
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",10,200,A,1,1.0,7.0,7.5,7.0,21.5
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",11,103,C,1,1.6,6.0,6.0,6.0,18.0
meet6,3,D,F,15411,Olivia Birkett,"Plymouth Diving, 2015",12,201,C,1,1.5,6.5,7.0,6.5,20.0
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",1,100,A,1,1.0,6.5,6.0,6.0,18.5
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",2,200,A,1,1.0,7.0,7.0,6.5,20.5
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",3,103,B,1,1.7,5.5,6.5,5.5,17.5
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",4,301,C,1,1.6,5.0,5.5,5.5,16.0
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",5,10,A,3,1.2,8.0,7.5,7.5,23.0
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",6,10,C,3,1.2,7.0,6.5,7.5,21.0
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",7,20,A,3,1.4,6.0,6.0,6.0,18.0
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",8,20,C,3,1.3,6.0,6.5,7.5,20.0
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",9,101,A,0,1.0,6.5,6.5,6.0,19.0
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",10,200,C,0,1.0,8.5,9.0,7.5,25.0
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",11,101,C,0,1.0,6.5,6.5,6.0,19.0
meet6,3,D,F,15924,Tirana-Kacie Malaj,"Southampton Diving Academy, 2015",12,100,B,0,1.0,7.5,8.5,7.5,23.5
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",1,10,A,3,1.2,7.5,6.5,7.0,21.0
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",2,10,C,3,1.2,7.0,7.0,8.0,22.0
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",3,20,A,3,1.4,6.0,6.5,6.5,19.0
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",4,20,C,3,1.3,5.5,5.0,5.0,15.5
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",5,101,A,0,1.0,7.5,7.5,7.0,22.0
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",6,200,C,0,1.0,7.5,7.5,7.5,22.5
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",7,101,C,0,1.0,9.0,8.5,8.5,26.0
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",8,100,B,0,1.0,9.5,9.5,9.5,28.5
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",9,100,A,1,1.0,7.0,6.5,7.0,20.5
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",10,200,A,1,1.0,7.5,8.5,8.0,24.0
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",11,401,C,1,1.4,5.5,5.0,5.0,15.5
meet6,3,D,F,17040,Violet Elford,"Plymouth Diving, 2015",12,201,C,1,1.5,4.0,4.5,4.0,12.5
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",1,10,A,3,1.2,7.5,6.5,7.0,21.0
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",2,10,C,3,1.2,7.0,6.5,7.5,21.0
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",3,20,A,3,1.4,6.0,6.5,7.0,19.5
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",4,20,C,3,1.3,7.0,6.5,6.5,20.0
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",5,101,A,0,1.0,6.5,6.0,6.5,19.0
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",6,200,C,0,1.0,7.5,7.0,7.5,22.0
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",7,101,C,0,1.0,6.5,6.5,7.0,20.0
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",8,100,B,0,1.0,6.5,6.5,6.0,19.0
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",9,100,A,1,1.0,7.5,8.0,8.0,23.5
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",10,200,A,1,1.0,7.5,7.0,7.0,21.5
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",11,103,C,1,1.6,5.0,5.5,5.0,15.5
meet6,3,D,F,15933,Alana Pulsford,"Southampton Diving Academy, 2015",12,201,C,1,1.5,5.5,5.5,5.5,16.5
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",1,101,A,0,1.0,5.0,5.0,6.0,16.0
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",2,200,C,0,1.0,6.5,7.0,6.0,19.5
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",3,101,C,0,1.0,4.5,4.5,5.5,14.5
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",4,100,B,0,1.0,6.5,6.0,5.5,18.0
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",5,100,A,1,1.0,7.0,6.0,6.5,19.5
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",6,200,A,1,1.0,6.0,7.0,7.0,21.0
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",7,103,C,1,1.6,6.0,6.0,6.0,18.0
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",8,201,C,1,1.5,6.5,6.5,6.5,19.5
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",9,10,A,3,1.2,5.5,5.5,6.5,17.5
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",10,10,C,3,1.2,8.0,8.5,8.0,24.5
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",11,20,A,3,1.4,5.5,5.0,5.0,15.5
meet6,3,D,F,15935,Abigail Sutcliffe,"Southampton Diving Academy, 2015",12,20,C,3,1.3,7.5,8.0,8.0,23.5
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",1,101,A,0,1.0,6.0,6.0,6.0,18.0
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",2,200,C,0,1.0,6.5,6.0,6.5,19.0
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",3,101,C,0,1.0,6.0,6.5,6.0,18.5
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",4,100,B,0,1.0,7.0,7.5,7.0,21.5
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",5,100,A,1,1.0,5.5,5.0,5.5,16.5
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",6,200,A,1,1.0,6.5,5.5,5.5,16.5
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",7,201,C,1,1.5,4.5,4.0,5.0,13.5
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",8,401,C,1,1.4,5.5,5.0,5.5,16.5
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",9,10,A,3,1.2,8.0,8.0,8.0,24.0
meet6,3,D,F,16796,Cora Fitzmaurice,"Plymouth Diving, 2016",10,10,C,3,1.2,7.0,6.0,6.5,19.5
